   wage_per_hour  union  education_yrs  experience_yrs  age  female  marr  \,    south  manufacturing  construction  
0            5.10      0              8              21   35       1     1   ,0       0              1             0  
1            4.95      0              9              42   57       1     1   ,1       0              1             0  
2            6.67      0             12               1   19       0     0   ,2       0              1             0  
3            4.00      0             12               4   22       0     0   ,3       0              0             0  
4            7.50      0             12              17   35       0     1   ,4       0              0             0  
5           13.07      1             13               9   28       0     0   ,5       0              0             0  
6            4.45      0             10              27   43       0     0   ,6       1              0             0  
7           19.47      0             12               9   27       0     0   ,7       0              0             0  
8           13.28      0             16              11   33       0     1   ,8       0              1             0  
9            8.75      0             12               9   27       0     0   ,9       0              0             0  
10          11.35      1             12              17   35       0     1   ,10      0              0             0  
11          11.50      1             12              19   37       0     0   ,11      0              1             0  
12           6.50      0              8              27   41       0     1   ,12      1              0             0  
13           6.25      1              9              30   45       0     0   ,13      1              0             0  
14          19.98      0              9              29   44       0     1   ,14      1              0             0  
15           7.30      0             12              37   55       0     1   ,15      0              0             1  
16           8.00      0              7              44   57       0     1   ,16      1              0             0  
17          22.20      1             12              26   44       0     1   ,17      0              1             0  
18           3.65      0             11              16   33       0     0   ,18      0              0             0  
19          20.55      0             12              33   51       0     1   ,19      0              0             0  
20           5.71      1             12              16   34       1     1   ,20      0              1             0  
21           7.00      1              7              42   55       0     1   ,21      0              1             0  
22           3.75      0             12               9   27       0     0   ,22      0              0             0  
23           4.50      0             11              14   31       0     1   ,23      1              0             0  
24           9.56      0             12              23   41       0     1   ,24      0              0             0  
25           5.75      0              6              45   57       0     1   ,25      1              1             0  
26           9.36      0             12               8   26       0     1   ,26      0              1             0  
27           6.50      0             10              30   46       0     1   ,27      0              0             0  
28           3.35      0             12               8   26       1     1   ,28      0              1             0  
29           4.75      0             12               8   26       0     1   ,29      0              0             0
30           8.90      0             14              13   33       0     0   ,30      0              0             0  
31           4.00      0             12              46   64       1     0   ,31      1              0             0  
32           4.70      0              8              19   33       0     1   ,32      0              0             0  
33           5.00      0             17               1   24       1     0   ,33      1              0             0  
34           9.25      0             12              19   37       0     0   ,34      0              1             0  
35          10.67      0             12              36   54       0     0   ,35      0              0             0  
36           7.61      0             12              20   38       0     1   ,36      1              0             1  
37          10.00      1             12              35   53       0     1   ,37      0              0             1  
38           7.50      0             12               3   21       0     0   ,38      0              0             0  
39          12.20      0             14              10   30       0     1   ,39      1              1             0  
40           3.35      0             12               0   18       0     0   ,40      0              0             0  
41          11.00      1             14              14   34       0     1   ,41      1              1             0  
42          12.00      0             12              14   32       0     1   ,42      0              1             0  
43           4.85      0              9              16   31       1     1   ,43      0              1             0  
44           4.30      0             13               8   27       0     0   ,44      1              0             1  
45           6.00      0              7              15   28       1     1   ,45      1              1             0  
46          15.00      0             16              12   34       0     1   ,46      0              1             0  
47           4.85      0             10              13   29       0     0   ,47      1              0             0  
48           9.00      1              8              33   47       0     1   ,48      0              0             0  
49           6.36      0             12               9   27       0     1   ,49      0              1             0  
50           9.15      0             12               7   25       0     1   ,50      0              0             0  
51          11.00      1             16              13   35       0     1   ,51      0              1             0  
52           4.50      0             12               7   25       1     1   ,52      0              1             0  
53           4.80      0             12              16   34       1     1   ,53      0              1             0  
54           4.00      0             13               0   19       0     0   ,54      0              0             0  
55           5.50      0             12              11   29       1     0   ,55      0              1             0  
56           8.40      0             13              17   36       0     0   ,56      0              1             0  
57           6.75      0             10              13   29       0     1   ,57      0              1             0  
58          10.00      1             12              22   40       0     0   ,58      0              1             0  
59           5.00      0             12              28   46       1     1   ,59      0              1             0
60           6.50      0             11              17   34       0     0   ,60      0              0             0  
61          10.75      1             12              24   42       0     1   ,61      0              0             1  
62           7.00      0              3              55   64       0     1   ,62      1              1             0  
63          11.43      0             12               3   21       0     0   ,63      1              0             1  
64           4.00      1             12               6   24       0     0   ,64      0              1             0  
65           9.00      0             10              27   43       0     1   ,65      0              0             1  
66          13.00      1             12              19   37       0     1   ,66      1              1             0  
67          12.22      1             12              19   37       0     1   ,67      0              0             1  
68           6.28      0             12              38   56       1     1   ,68      0              1             0  
69           6.75      1             10              41   57       0     1   ,69      1              1             0  
70           3.35      0             11               3   20       0     0   ,70      1              1             0  
71          16.00      1             14              20   40       0     1   ,71      0              0             0  
72           5.25      0             10              15   31       0     1   ,72      0              0             0  
73           3.50      0              8               8   22       0     1   ,73      1              1             0  
74           4.22      0              8              39   53       1     1   ,74      1              1             0  
75           3.00      1              6              43   55       1     1   ,75      0              1             0  
76           4.00      1             11              25   42       1     1   ,76      1              1             0  
77          10.00      1             12              11   29       0     1   ,77      0              0             0  
78           5.00      0             12              12   30       0     1   ,78      0              0             0  
79          16.00      1             12              35   53       0     1   ,79      1              1             0  
80          13.98      0             14              14   34       0     0   ,80      0              0             0  
81          13.26      1             12              16   34       0     1   ,81      0              0             0  
82           6.10      1             10              44   60       1     0   ,82      0              1             0  
83           3.75      0             16              13   35       1     0   ,83      1              0             0  
84           9.00      1             13               8   27       0     0   ,84      0              1             0  
85           9.45      0             12              13   31       0     0   ,85      0              1             0  
86           5.50      1             11              18   35       0     1   ,86      0              0             0  
87           8.93      0             12              18   36       1     1   ,87      0              0             0  
88           6.25      0             12               6   24       1     0   ,88      1              0             0  
89           9.75      1             11              37   54       0     1   ,89      1              1             0
90            6.73      0             12               2   20       0     1   ,90       1              1             0  
91            7.78      0             12              23   41       0     1   ,91       0              1             0  
92            2.85      0             12               1   19       0     0   ,92       0              0             0  
93            3.35      0             12              10   28       1     1   ,93       1              1             0  
94           19.98      0             12              23   41       0     1   ,94       0              1             0  
95            8.50      1             12               8   26       0     1   ,95       0              0             0  
96            9.75      0             15               9   30       1     1   ,96       0              1             0  
97           15.00      1             12              33   51       0     1   ,97       0              0             1  
98            8.00      0             12              19   37       1     1   ,98       0              1             0  
99           11.25      0             13              14   33       0     1   ,99       0              0             0  
100          14.00      1             11              13   30       0     1   ,100      0              0             0  
101          10.00      0             10              12   28       0     1   ,101      0              0             1  
102           6.50      0             12               8   26       0     0   ,102      0              0             0  
103           9.83      0             12              23   41       0     1   ,103      0              1             0  
104          18.50      0             14              13   33       1     0   ,104      0              1             0  
105          12.50      0             12               9   27       0     1   ,105      1              0             0  
106          26.00      1             14              21   41       0     1   ,106      0              0             0  
107          14.00      0              5              44   55       0     1   ,107      1              0             1  
108          10.50      1             12               4   22       0     1   ,108      0              0             0  
109          11.00      0              8              42   56       0     1   ,109      0              1             0  
110          12.47      1             13              10   29       0     1   ,110      0              0             0  
111          12.50      0             12              11   29       0     0   ,111      0              0             1  
112          15.00      1             12              40   58       0     1   ,112      0              0             1  
113           6.00      0             12               8   26       0     0   ,113      0              0             1  
114           9.50      0             11              29   46       0     1   ,114      1              0             1  
115           5.00      1             16               3   25       0     0   ,115      0              0             0  
116           3.75      0             11              11   28       0     0   ,116      0              0             1  
117          12.57      1             12              12   30       0     1   ,117      0              0             0  
118           6.88      0              8              22   36       1     1   ,118      0              0             0  
119           5.50      0             12              12   30       0     1   ,119      0              0             0
120           7.00      1             12               7   25       0     1   ,120      0              0             0  
121           4.50      0             12              15   33       1     0   ,121      0              1             0  
122           6.50      0             12              28   46       0     1   ,122      0              0             0  
123          12.00      1             12              20   38       0     1   ,123      1              1             0  
124           5.00      0             12               6   24       0     0   ,124      1              0             1  
125           6.50      0             12               5   23       0     0   ,125      1              1             0  
126           6.80      0              9              30   45       1     1   ,126      1              1             0  
127           8.75      0             13              18   37       0     1   ,127      0              0             0  
128           3.75      0             12               6   24       1     1   ,128      1              1             0  
129           4.50      0             12              16   34       0     0   ,129      1              0             0  
130           6.00      1             12               1   19       0     0   ,130      1              0             0  
131           5.50      0             12               3   21       0     0   ,131      0              1             0  
132          13.00      0             12               8   26       0     1   ,132      0              0             0  
133           5.65      0             14               2   22       0     0   ,133      0              1             0  
134           4.80      0              9              16   31       0     0   ,134      0              1             0  
135           7.00      0             10               9   25       0     1   ,135      1              0             1  
136           5.25      0             12               2   20       0     0   ,136      0              0             0  
137           3.35      0              7              43   56       0     1   ,137      1              1             0  
138           8.50      0              9              38   53       0     1   ,138      0              1             0  
139           6.00      0             12               9   27       0     1   ,139      0              0             0  
140           6.75      0             12              12   30       0     1   ,140      1              0             0  
141           8.89      0             12              18   36       0     1   ,141      0              1             0  
142          14.21      1             11              15   32       0     0   ,142      0              1             0  
143          10.78      1             11              28   45       0     1   ,143      1              0             1  
144           8.90      1             10              27   43       0     1   ,144      1              0             1  
145           7.50      0             12              38   56       0     1   ,145      1              0             0  
146           4.50      0             12               3   21       1     0   ,146      0              1             0  
147          11.25      1             12              41   59       0     1   ,147      0              0             0  
148          13.45      1             12              16   34       0     1   ,148      1              0             0  
149           6.00      0             13               7   26       0     1   ,149      1              1             0
150           4.62      0              6              33   45       1     0   ,150      1              1             0  
151          10.58      0             14              25   45       0     1   ,151      0              1             0  
152           5.00      0             12               5   23       0     1   ,152      1              0             0  
153           8.20      0             14              17   37       0     0   ,153      1              0             0  
154           6.25      0             12               1   19       0     0   ,154      1              0             0  
155           8.50      0             12              13   31       0     1   ,155      0              1             0  
156          24.98      0             16              18   40       0     1   ,156      0              0             0  
157          16.65      0             14              21   41       0     1   ,157      1              0             0  
158           6.25      0             14               2   22       0     0   ,158      0              0             0  
159           4.55      0             12               4   22       1     0   ,159      1              0             0  
160          11.25      0             12              30   48       1     1   ,160      1              0             0  
161          21.25      0             13              32   51       0     0   ,161      0              0             0  
162          12.65      0             17              13   36       1     1   ,162      0              0             0  
163           7.50      0             12              17   35       0     0   ,163      0              0             0  
164          10.25      0             14              26   46       1     1   ,164      0              0             0  
165           3.35      0             16               9   31       0     0   ,165      0              0             0  
166          13.45      0             16               8   30       0     0   ,166      0              0             0  
167           4.84      1             15               1   22       0     1   ,167      0              0             0  
168          26.29      0             17              32   55       0     1   ,168      1              0             0  
169           6.58      0             12              24   42       1     1   ,169      0              0             0  
170          44.50      0             14               1   21       1     0   ,170      0              0             0  
171          15.00      0             12              42   60       0     1   ,171      0              1             0  
172          11.25      0             16               3   25       1     0   ,172      0              1             0  
173           7.00      0             12              32   50       1     1   ,173      0              0             0  
174          10.00      0             14              22   42       0     0   ,174      0              0             0  
175          14.53      0             16              18   40       0     1   ,175      0              0             0  
176          20.00      0             18              19   43       1     1   ,176      0              0             0  
177          22.50      0             15              12   33       0     1   ,177      0              0             0  
178           3.64      0             12              42   60       1     1   ,178      0              0             0  
179          10.62      0             12              34   52       0     1   ,179      1              0             0
180          24.98      0             18              29   53       0     1   ,180      0              0             0  
181           6.00      0             16               8   30       0     0   ,181      1              0             0  
182          19.00      0             18              13   37       0     0   ,182      0              1             0  
183          13.20      0             16              10   32       0     0   ,183      0              0             0  
184          22.50      0             16              22   44       0     1   ,184      0              0             0  
185          15.00      0             16              10   32       0     1   ,185      1              0             0  
186           6.88      0             17              15   38       1     1   ,186      0              0             0  
187          11.84      0             12              26   44       0     1   ,187      0              0             0  
188          16.14      0             14              16   36       0     0   ,188      0              0             0  
189          13.95      0             18              14   38       1     1   ,189      0              0             0  
190          13.16      0             12              38   56       1     1   ,190      0              0             0  
191           5.30      0             12              14   32       0     1   ,191      1              0             0  
192           4.50      0             12               7   25       1     1   ,192      0              0             0  
193          10.00      0             18              13   37       1     0   ,193      1              0             0  
194          10.00      0             10              20   36       0     1   ,194      0              0             0  
195          10.00      1             16               7   29       0     1   ,195      0              0             0  
196           9.37      0             16              26   48       1     1   ,196      0              0             0  
197           5.80      0             16              14   36       0     1   ,197      0              0             0  
198          17.86      0             13              36   55       0     0   ,198      0              0             0  
199           1.00      0             12              24   42       0     1   ,199      0              0             0  
200           8.80      0             14              41   61       0     1   ,200      1              0             0  
201           9.00      0             16               7   29       0     1   ,201      0              0             0  
202          18.16      0             17              14   37       0     0   ,202      1              0             0  
203           7.81      0             12               1   19       1     0   ,203      1              0             0  
204          10.62      0             16               6   28       1     1   ,204      0              1             0  
205           4.50      0             12               3   21       1     1   ,205      0              0             0  
206          17.25      0             15              31   52       0     1   ,206      0              0             0  
207          10.50      0             13              14   33       1     1   ,207      0              1             0  
208           9.22      0             14              13   33       1     1   ,208      0              0             0  
209          15.00      1             16              26   48       0     1   ,209      0              1             0
210          22.50      0             18              14   38       0     1   ,210      0              0             0  
211           4.55      0             13              33   52       1     1   ,211      0              0             0  
212           9.00      0             12              16   34       0     1   ,212      0              0             0  
213          13.33      0             18              10   34       0     1   ,213      0              0             0  
214          15.00      0             14              22   42       0     0   ,214      0              0             0  
215           7.50      0             14               2   22       0     0   ,215      0              0             0  
216           4.25      0             12              29   47       1     1   ,216      1              0             0  
217          12.50      0             12              43   61       0     1   ,217      0              1             0  
218           5.13      0             12               5   23       1     1   ,218      0              0             0  
219           3.35      0             16              14   36       1     1   ,219      1              0             0  
220          11.11      0             12              28   46       0     1   ,220      1              0             0  
221           3.84      0             11              25   42       1     1   ,221      1              0             0  
222           6.40      0             12              45   63       1     1   ,222      0              0             0  
223           5.56      0             14               5   25       0     0   ,223      1              0             0  
224          10.00      0             12              20   38       0     1   ,224      1              1             0  
225           5.65      0             16               6   28       1     1   ,225      0              0             0  
226          11.50      0             16              16   38       0     1   ,226      0              0             0  
227           3.50      0             11              33   50       1     1   ,227      0              0             0  
228           3.35      0             13               2   21       1     1   ,228      1              0             0  
229           4.75      0             12              10   28       1     0   ,229      1              0             0  
230          19.98      0             14              44   64       0     1   ,230      1              0             0  
231           3.50      0             14               6   26       1     1   ,231      1              0             0  
232           4.00      0             12              15   33       1     0   ,232      0              0             0  
233           7.00      0             12               5   23       0     1   ,233      0              0             0  
234           6.25      0             13               4   23       1     1   ,234      0              1             0  
235           4.50      0             14              14   34       0     1   ,235      0              0             0  
236          14.29      0             14              32   52       1     1   ,236      0              0             0  
237           5.00      0             12              14   32       1     1   ,237      0              0             0  
238          13.75      0             14              21   41       0     1   ,238      0              0             0  
239          13.71      1             12              43   61       0     1   ,239      0              0             0
240           7.50      0             12              27   45       1     1   ,240      1              0             0  
241           3.80      0             12               4   22       1     0   ,241      0              0             0  
242           5.00      0             14               0   20       0     0   ,242      0              0             0  
243           9.42      0             12              32   50       0     1   ,243      1              0             0  
244           5.50      0             12              20   38       0     1   ,244      0              0             0  
245           3.75      0             15               4   25       0     0   ,245      1              0             0  
246           3.50      0             12              34   52       0     1   ,246      0              0             0  
247           5.80      0             13               5   24       0     0   ,247      0              0             0  
248          12.00      0             17              13   36       0     1   ,248      0              1             0  
249           5.00      0             14              17   37       1     1   ,249      0              0             0  
250           8.75      0             13              10   29       1     1   ,250      1              0             0  
251          10.00      0             16               7   29       1     1   ,251      0              0             0  
252           8.50      0             12              25   43       1     0   ,252      0              0             0  
253           8.63      0             12              18   36       1     1   ,253      0              0             0  
254           9.00      0             16              27   49       1     1   ,254      0              1             0  
255           5.50      0             16               2   24       1     0   ,255      0              0             0  
256          11.11      0             13              13   32       0     1   ,256      0              0             0  
257          10.00      0             14              24   44       1     0   ,257      0              0             0  
258           5.20      0             18              13   37       1     1   ,258      1              0             0  
259           8.00      1             14              15   35       1     0   ,259      0              0             0  
260           3.56      0             12              12   30       1     0   ,260      1              0             0  
261           5.20      0             12              24   42       1     1   ,261      0              0             0  
262          11.67      0             12              43   61       1     1   ,262      0              0             1  
263          11.32      0             12              13   31       1     1   ,263      0              1             0  
264           7.50      0             12              16   34       1     1   ,264      1              0             0  
265           5.50      0             11              24   41       1     1   ,265      0              0             0  
266           5.00      0             16               4   26       1     1   ,266      1              0             0  
